medication_name,image_filename
Adol,Adol.jpg
Cataflam,Cataflam.jpg
Celebrex,Celebrex.jpg
Glucophage,Glucophage.jpg
Janumet,Janumet.jpg
Claritin,Claritin.jpg
Adalat,Adalat.jpg
Aerius,Aerius.jpg
Amikacin,Amikacin.jpg
Amoxicillin Suspension,Amoxicillin_Suspension.jpg
Amoxil,Amoxil.jpg
Arcoxia,Arcoxia.jpg
Ativan,Ativan.jpg
Atrovent,Atrovent.jpg
Avamys,Avamys.jpg
Avodart,Avodart.jpg
Aspirin Protect,Aspirin_Protect.jpg
Bactroban,Bactroban.jpg
Betnovate,Betnovate.jpg
Biotin,Biotin.jpg
Buscopan,Buscopan.jpg
Calcium and Vitamin D,Calcium_and_Vitamin_D.jpg
Canesten,Canesten.jpg
Capoten,Capoten.jpg
Cardura,Cardura.jpg
Carvedilol,Carvedilol.jpg
Ceclor,Ceclor.jpg
Cefazolin,Cefazolin.jpg
Centrum,Centrum.jpg
Chlorpheniramine,Chlorpheniramine.jpg
Cialis,Cialis.jpg
Cipralex,Cipralex.jpg
Ciprobay,Ciprobay.jpg
Clexane,Clexane.jpg
Co-Diovan,Co-Diovan.jpg
Colchicine,Colchicine.jpg
Controloc,Controloc.jpg
Dalacin C,Dalacin_C.jpg
Daonil,Daonil.jpg
Decadron,Decadron.jpg
Dermovate,Dermovate.jpg
Digoxin,Digoxin.jpg
Dilantin,Dilantin.jpg
Ditropan,Ditropan.jpg
Duphalac,Duphalac.jpg
Duspatalin,Duspatalin.jpg
Effexor XR,Effexor_XR.jpg
Elimite,Elimite.jpg
Eliquis,Eliquis.jpg
Eltroxin,Eltroxin.jpg
Epilim,Epilim.jpg
Exforge,Exforge.jpg
Ezetimibe,Ezetimibe.jpg
Famotidine,Famotidine.jpg
Ferrous Sulfate,Ferrous_Sulfate.jpg
Ciloxan,Ciloxan.jpg
Zyprexa,Zyprexa.jpg
Flixotide,Flixotide.jpg
Florinef,Florinef.jpg
Folic Acid,Folic_Acid.jpg
Forxiga,Forxiga.jpg
Fosamax,Fosamax.jpg
Fucidin,Fucidin.jpg
Gaviscon,Gaviscon.jpg
Glucophage XR,Glucophage_XR.jpg
Glucovance,Glucovance.jpg
Haldol,Haldol.jpg
Heparin,Heparin.jpg
Humulin 70 30,Humulin_70_30.jpg
Hydrocortisone,Hydrocortisone.jpg
Hydrocortisone 1%,Hydrocortisone_1%.jpg
Imodium,Imodium.jpg
Keppra,Keppra.jpg
Klacid,Klacid.jpg
Linezolid,Linezolid.jpg
Losec,Losec.jpg
Maalox,Maalox.jpg
Magnesium,Magnesium.jpg
Maxidex,Maxidex.jpg
Medrol,Medrol.jpg
Melatonin 3mg,Melatonin_3mg.jpg
Meropenem,Meropenem.jpg
Metformin and Sitagliptin,Metformin_and_Sitagliptin.jpg
Methotrexate,Methotrexate.jpg
Methyldopa,Methyldopa.jpg
Metoclopramide,Metoclopramide.jpg
Morphine,Morphine.jpg
Motilium,Motilium.jpg
Mucinex,Mucinex.jpg
Naproxen,Naproxen.jpg
Neo-Mercazole,Neo-Mercazole.jpg
Neurontin,Neurontin.jpg
Nexium,Nexium.jpg
Nitrofurantoin,Nitrofurantoin.jpg
Nitroglycerin Sublingual,Nitroglycerin_Sublingual.jpg
Nizoral,Nizoral.jpg
ORS,ORS.jpg
ORS (Oral Rehydration Salts),ORS_(Oral_Rehydration_Salts).jpg
Omega-3,Omega-3.jpg
Omnic,Omnic.jpg
Ozempic,Ozempic.jpg
Panadol,Panadol.jpg
Panadol Children,Panadol_Children.jpg
Panadol Extra,Panadol_Extra.jpg
Pioglitazone,Pioglitazone.jpg
Plaquenil,Plaquenil.jpg
Pradaxa,Pradaxa.jpg
Prednisolone,Prednisolone.jpg
Propylthiouracil,Propylthiouracil.jpg
Proscar,Proscar.jpg
Prozac,Prozac.jpg
Pulmicort,Pulmicort.jpg
Refresh Tears,Refresh_Tears.jpg
Retin-A,Retin-A.jpg
Rocephin,Rocephin.jpg
Rogaine,Rogaine.jpg
Seroquel,Seroquel.jpg
Spiriva,Spiriva.jpg
Suprax,Suprax.jpg
Tamoxifen,Tamoxifen.jpg
Tavanic,Tavanic.jpg
Tegretol,Tegretol.jpg
Telfast,Telfast.jpg
Theophylline,Theophylline.jpg
Tienam,Tienam.jpg
Timoptol,Timoptol.jpg
Tobrex,Tobrex.jpg
Tramadol,Tramadol.jpg
Tritace,Tritace.jpg
Valium,Valium.jpg
Vancomycin,Vancomycin.jpg
Ventolin,Ventolin.jpg
Vesicare,Vesicare.jpg
Vibramycin,Vibramycin.jpg
Vitamin B12,Vitamin_B12.jpg
Vitamin C,Vitamin_C.jpg
Vitamin D 1000,Vitamin_D_1000.jpg
Vitamin D 5000,Vitamin_D_5000.jpg
Vitamin D 50000,Vitamin_D_50000.jpg
Voltaren,Voltaren.jpg
Voltaren Gel,Voltaren_Gel.jpg
Xalatan,Xalatan.jpg
Xanax,Xanax.jpg
Xarelto,Xarelto.jpg
Xylocaine Gel,Xylocaine_Gel.jpg
Xyzal,Xyzal.jpg
Zinc,Zinc.jpg
Zinnat,Zinnat.jpg
Zithromax,Zithromax.jpg
Zofran,Zofran.jpg
Zoloft,Zoloft.jpg
Zyloric,Zyloric.jpg
Seretide,Seretide.jpg
